epoch,lr-AdamW,step,train_loss_epoch,train_loss_step,val_loss
2,,309,,3.541508197784424,
,1.497470753921364e-05,310,,,
2,,310,,2.318099021911621,
,1.497470753921364e-05,311,,,
2,,311,,1.4801623821258545,
,1.497470753921364e-05,312,,,
2,,312,,1.538228154182434,
,1.497470753921364e-05,313,,,
2,,313,,1.4070862531661987,
,1.497470753921364e-05,314,,,
2,,314,,1.205357551574707,
,1.497470753921364e-05,315,,,
2,,315,,4.114247798919678,
,1.497470753921364e-05,316,,,
2,,316,,2.90853214263916,
,1.497470753921364e-05,317,,,
2,,317,,1.4904201030731201,
,1.497470753921364e-05,318,,,
2,,318,,2.598919153213501,
,1.497470753921364e-05,319,,,
2,,319,,5.110753536224365,
,1.497470753921364e-05,320,,,
2,,320,,2.1320419311523438,
,1.497470753921364e-05,321,,,
2,,321,,2.3782432079315186,
,1.497470753921364e-05,322,,,
2,,322,,2.0066752433776855,
,1.497470753921364e-05,323,,,
2,,323,,2.8097431659698486,
,1.497470753921364e-05,324,,,
2,,324,,2.623429536819458,
,1.497470753921364e-05,325,,,
2,,325,,2.73927903175354,
,1.497470753921364e-05,326,,,
2,,326,,2.8726887702941895,
,1.497470753921364e-05,327,,,
2,,327,,2.413879156112671,
,1.497470753921364e-05,328,,,
2,,328,,2.1379642486572266,
,1.497470753921364e-05,329,,,
2,,329,,0.6616771221160889,
,1.497470753921364e-05,330,,,
2,,330,,1.7780224084854126,
,1.497470753921364e-05,331,,,
2,,331,,1.502176284790039,
,1.497470753921364e-05,332,,,
2,,332,,2.4326353073120117,
,1.497470753921364e-05,333,,,
2,,333,,2.3623414039611816,
,1.497470753921364e-05,334,,,
2,,334,,2.8978307247161865,
,1.497470753921364e-05,335,,,
2,,335,,2.7456881999969482,
,1.497470753921364e-05,336,,,
2,,336,,1.5220829248428345,
,1.497470753921364e-05,337,,,
2,,337,,1.8904682397842407,
,1.497470753921364e-05,338,,,
2,,338,,0.7632490992546082,
,1.497470753921364e-05,339,,,
2,,339,,2.2050766944885254,
,1.497470753921364e-05,340,,,
2,,340,,2.8249990940093994,
,1.497470753921364e-05,341,,,
2,,341,,1.9757939577102661,
,1.497470753921364e-05,342,,,
2,,342,,3.4097719192504883,
,1.497470753921364e-05,343,,,
2,,343,,2.998382568359375,
,1.497470753921364e-05,344,,,
2,,344,,0.9136200547218323,
,1.497470753921364e-05,345,,,
2,,345,,2.4715073108673096,
,1.497470753921364e-05,346,,,
2,,346,,1.8399150371551514,
,1.497470753921364e-05,347,,,
2,,347,,1.9128528833389282,
,1.497470753921364e-05,348,,,
2,,348,,2.6694653034210205,
,1.497470753921364e-05,349,,,
2,,349,,1.2719898223876953,
,1.497470753921364e-05,350,,,
2,,350,,1.4800364971160889,
,1.497470753921364e-05,351,,,
2,,351,,2.2103757858276367,
,1.497470753921364e-05,352,,,
2,,352,,0.6285932660102844,
,1.497470753921364e-05,353,,,
2,,353,,1.4992865324020386,
,1.497470753921364e-05,354,,,
2,,354,,3.3505170345306396,
,1.497470753921364e-05,355,,,
2,,355,,0.5346097350120544,
,1.497470753921364e-05,356,,,
2,,356,,2.7138540744781494,
,1.497470753921364e-05,357,,,
2,,357,,1.0017832517623901,
,1.497470753921364e-05,358,,,
2,,358,,5.286463260650635,
,1.497470753921364e-05,359,,,
2,,359,,0.933314859867096,
,1.497470753921364e-05,360,,,
2,,360,,2.3801159858703613,
,1.497470753921364e-05,361,,,
2,,361,,1.4581059217453003,
,1.497470753921364e-05,362,,,
2,,362,,1.1979005336761475,
,1.497470753921364e-05,363,,,
2,,363,,2.157749652862549,
,1.497470753921364e-05,364,,,
2,,364,,1.4190658330917358,
,1.497470753921364e-05,365,,,
2,,365,,3.068296432495117,
,1.497470753921364e-05,366,,,
2,,366,,1.2384945154190063,
,1.497470753921364e-05,367,,,
2,,367,,1.194459319114685,
,1.497470753921364e-05,368,,,
2,,368,,2.908684253692627,
,1.497470753921364e-05,369,,,
2,,369,,1.5360174179077148,
,1.497470753921364e-05,370,,,
2,,370,,1.6879899501800537,
,1.497470753921364e-05,371,,,
2,,371,,1.3027113676071167,
,1.497470753921364e-05,372,,,
2,,372,,2.3710618019104004,
,1.497470753921364e-05,373,,,
2,,373,,0.9575620889663696,
,1.497470753921364e-05,374,,,
2,,374,,1.3060739040374756,
,1.497470753921364e-05,375,,,
2,,375,,1.2479455471038818,
,1.497470753921364e-05,376,,,
2,,376,,1.861928939819336,
,1.497470753921364e-05,377,,,
2,,377,,0.23463435471057892,
,1.497470753921364e-05,378,,,
2,,378,,2.1307880878448486,
,1.497470753921364e-05,379,,,
2,,379,,0.7434937357902527,
,1.497470753921364e-05,380,,,
2,,380,,3.413304090499878,
,1.497470753921364e-05,381,,,
2,,381,,2.367241621017456,
,1.497470753921364e-05,382,,,
2,,382,,1.6630703210830688,
,1.497470753921364e-05,383,,,
2,,383,,2.272064685821533,
,1.497470753921364e-05,384,,,
2,,384,,1.39971923828125,
,1.497470753921364e-05,385,,,
2,,385,,2.450517416000366,
,1.497470753921364e-05,386,,,
2,,386,,1.867619514465332,
,1.497470753921364e-05,387,,,
2,,387,,3.1814422607421875,
,1.497470753921364e-05,388,,,
2,,388,,2.039915084838867,
,1.497470753921364e-05,389,,,
2,,389,,1.5557321310043335,
,1.497470753921364e-05,390,,,
2,,390,,3.464045286178589,
,1.497470753921364e-05,391,,,
2,,391,,1.1366968154907227,
,1.497470753921364e-05,392,,,
2,,392,,1.6047714948654175,
,1.497470753921364e-05,393,,,
2,,393,,1.4725501537322998,
,1.497470753921364e-05,394,,,
2,,394,,2.5193982124328613,
,1.497470753921364e-05,395,,,
2,,395,,0.9285423755645752,
,1.497470753921364e-05,396,,,
2,,396,,0.9947447180747986,
,1.497470753921364e-05,397,,,
2,,397,,0.6847025156021118,
,1.497470753921364e-05,398,,,
2,,398,,1.7261629104614258,
,1.497470753921364e-05,399,,,
2,,399,,3.153963327407837,
,1.497470753921364e-05,400,,,
2,,400,,3.520728349685669,
,1.497470753921364e-05,401,,,
2,,401,,0.7942113280296326,
,1.497470753921364e-05,402,,,
2,,402,,2.421820640563965,
,1.497470753921364e-05,403,,,
2,,403,,2.5633082389831543,
,1.497470753921364e-05,404,,,
2,,404,,1.5929588079452515,
,1.497470753921364e-05,405,,,
2,,405,,2.3667187690734863,
,1.497470753921364e-05,406,,,
2,,406,,1.7797791957855225,
,1.497470753921364e-05,407,,,
2,,407,,2.9448864459991455,
,1.497470753921364e-05,408,,,
2,,408,,2.7125420570373535,
,1.497470753921364e-05,409,,,
2,,409,,3.883500099182129,
,1.497470753921364e-05,410,,,
2,,410,,2.7499592304229736,
,1.497470753921364e-05,411,,,
2,,411,,1.9634485244750977,
,1.497470753921364e-05,412,,,
2,,412,,1.6366631984710693,
,1.497470753921364e-05,413,,,
2,,413,,2.868967294692993,
